float-n-math	libc.so.6	wcstof128	GLIBC_2.26	absent from runtime export surface
float-n-math	libc.so.6	wcstof128_l	GLIBC_2.26	absent from runtime export surface
float-n-math	libc.so.6	wcstof32	GLIBC_2.27	absent from runtime export surface
float-n-math	libc.so.6	wcstof32_l	GLIBC_2.27	absent from runtime export surface
float-n-math	libc.so.6	wcstof32x	GLIBC_2.27	absent from runtime export surface
float-n-math	libc.so.6	wcstof32x_l	GLIBC_2.27	absent from runtime export surface
float-n-math	libc.so.6	wcstof64_l	GLIBC_2.27	absent from runtime export surface
float-n-math	libc.so.6	wcstof64x	GLIBC_2.27	absent from runtime export surface
float-n-math	libc.so.6	wcstof64x_l	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	__finitef128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	__fpclassifyf128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	__iseqsigf128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	__isinff128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	__isnanf128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	__issignalingf128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	__signbitf128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	acosf128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	acosf32	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	acosf32x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	acosf64x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	acoshf128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	acoshf32	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	acoshf32x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	acoshf64x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	asinf128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	asinf32	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	asinf32x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	asinf64x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	asinhf128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	asinhf32	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	asinhf32x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	asinhf64x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	atan2f128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	atan2f32	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	atan2f32x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	atan2f64x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	atanf128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	atanf32	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	atanf32x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	atanf64x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	atanhf128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	atanhf32	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	atanhf32x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	atanhf64x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	cabsf128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	cabsf32	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	cabsf32x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	cabsf64x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	cacosf128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	cacosf32	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	cacosf32x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	cacosf64x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	cacoshf128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	cacoshf32	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	cacoshf32x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	cacoshf64x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	canonicalizef128	GLIBC_2.26	absent from runtime export surface
float-n-math	libm.so.6	canonicalizef32	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	canonicalizef32x	GLIBC_2.27	absent from runtime export surface
float-n-math	libm.so.6	canonicalizef64	GLIBC_2.27	absent from runtime export surface
