acl_extended_fd	unlisted	-
acl_extended_file	unlisted	-
acl_extended_file_nofollow	unlisted	-
acl_free	int	int acl_free (void *)
acl_from_mode	unlisted	-
acl_from_text	int	acl_t acl_from_text (const char *)
acl_get_entry	int	int acl_get_entry (acl_t, int, acl_entry_t *)
acl_get_fd	int	acl_t acl_get_fd (int)
acl_get_file	int	acl_t acl_get_file (const char *, acl_type_t)
acl_get_perm	unlisted	-
acl_get_permset	int	int acl_get_permset (acl_entry_t, acl_permset_t *)
acl_get_qualifier	int	void *acl_get_qualifier (acl_entry_t)
acl_get_tag_type	int	int acl_get_tag_type (acl_entry_t, acl_tag_t *)
acl_init	int	acl_t acl_init (int)
acl_set_fd	int	int acl_set_fd (int, acl_t)
acl_set_file	int	int acl_set_file (const char *, acl_type_t, acl_t)
acl_set_permset	int	int acl_set_permset (acl_entry_t, acl_permset_t)
acl_set_qualifier	int	int acl_set_qualifier (acl_entry_t, const void *)
acl_set_tag_type	int	int acl_set_tag_type (acl_entry_t, acl_tag_t)
acl_size	int	ssize_t acl_size (acl_t)
acl_to_any_text	unlisted	-
acl_to_text	int	char *acl_to_text (acl_t, ssize_t *)
acl_valid	int	int acl_valid (acl_t)
aclcheck	unlisted	-
aclfrommode	unlisted	-
aclfrompbits	unlisted	-
aclfromtext	unlisted	-
aclsort	unlisted	-
acltomode	unlisted	-
acltopbits	unlisted	-
acltotext	unlisted	-
acos	fp	double acos (double)
acosf	fp	float acosf (float)
acosh	fp	double acosh (double)
acoshf	fp	float acoshf (float)
acoshl	fp	long double acoshl (long double)
acosl	fp	long double acosl (long double)
aio_cancel	int	int aio_cancel (int, struct aiocb *)
aio_error	int	int aio_error (const struct aiocb *)
aio_fsync	int	int aio_fsync (int, struct aiocb *)
aio_read	int	int aio_read (struct aiocb *)
aio_return	int	ssize_t aio_return (struct aiocb *)
aio_suspend	int	int aio_suspend (const struct aiocb *const *, int, const struct timespec *)
aio_write	int	int aio_write (struct aiocb *)
alarm	int	unsigned int alarm (unsigned int)
aligned_alloc	int	void *aligned_alloc (size_t, size_t)
alphasort	int	int alphasort (const struct dirent **, const struct dirent **)
arc4random	int	__uint32_t arc4random (void)
arc4random_addrandom	unlisted	-
arc4random_buf	int	void arc4random_buf (void *, size_t)
arc4random_stir	unlisted	-
arc4random_uniform	int	__uint32_t arc4random_uniform (__uint32_t)
argz_add	int	error_t argz_add (char **, size_t *, const char *)
argz_add_sep	int	error_t argz_add_sep (char **, size_t *, const char *, int)
argz_append	int	error_t argz_append (char **, size_t *, const char *, size_t)
argz_count	int	size_t argz_count (const char *, size_t)
argz_create	int	error_t argz_create (char *const *, char **, size_t *)
argz_create_sep	int	error_t argz_create_sep (const char *, int, char **, size_t *)
argz_delete	int	error_t argz_delete (char **, size_t *, char *)
argz_extract	int	void argz_extract (char *, size_t, char **)
argz_insert	int	error_t argz_insert (char **, size_t *, char *, const char *)
argz_next	int	char *argz_next (char *, size_t, const char *)
argz_replace	int	error_t argz_replace (char **, size_t *, const char *, const char *, unsigned int *)
argz_stringify	int	void argz_stringify (char *, size_t, int)
asctime	int	char *asctime (const struct tm *)
asctime_r	int	char *asctime_r (const struct tm *, char *)
asin	fp	double asin (double)
asinf	fp	float asinf (float)
asinh	fp	double asinh (double)
asinhf	fp	float asinhf (float)
asinhl	fp	long double asinhl (long double)
asinl	fp	long double asinl (long double)
at_quick_exit	int	int at_quick_exit (void (*) (void))
atan	fp	double atan (double)
atan2	fp	double atan2 (double, double)
atan2f	fp	float atan2f (float, float)
atan2l	fp	long double atan2l (long double, long double)
atanf	fp	float atanf (float)
atanh	fp	double atanh (double)
atanhf	fp	float atanhf (float)
atanhl	fp	long double atanhl (long double)
atanl	fp	long double atanl (long double)
atexit	int	int atexit (void (*) (void))
atof	fp	double atof (const char *)
atoff	fp	float atoff (const char *)
atoi	int	int atoi (const char *)
atol	int	long int atol (const char *)
atoll	int	long long int atoll (const char *)
basename	int	char *basename (const char *)
bcmp	int	int bcmp (const void *, const void *, size_t)
bcopy	int	void bcopy (const void *, void *, size_t)
bind	int	int bind (int, const struct sockaddr *, socklen_t)
bindresvport	int	int bindresvport (int, struct sockaddr_in *)
bindresvport_sa	int	int bindresvport_sa (int, struct sockaddr *)
bsearch	int	void *bsearch (const void *, const void *, size_t, size_t, __compar_fn_t)
btowc	int	wint_t btowc (int)
bzero	int	void bzero (void *, size_t)
c16rtomb	unlisted	-
c32rtomb	unlisted	-
cabs	fp	double cabs (complex double)
cabsf	fp	float cabsf (complex float)
cabsl	fp	long double cabsl (complex long double)
cacos	fp	complex double cacos (complex double)
cacosf	fp	complex float cacosf (complex float)
cacosh	fp	complex double cacosh (complex double)
cacoshf	fp	complex float cacoshf (complex float)
cacoshl	fp	complex long double cacoshl (complex long double)
cacosl	fp	complex long double cacosl (complex long double)
call_once	unlisted	-
calloc	int	void *calloc (size_t, size_t)
canonicalize_file_name	int	char *canonicalize_file_name (const char *)
carg	fp	double carg (complex double)
cargf	fp	float cargf (complex float)
cargl	fp	long double cargl (complex long double)
casin	fp	complex double casin (complex double)
casinf	fp	complex float casinf (complex float)
casinh	fp	complex double casinh (complex double)
casinhf	fp	complex float casinhf (complex float)
casinhl	fp	complex long double casinhl (complex long double)
casinl	fp	complex long double casinl (complex long double)
catan	fp	complex double catan (complex double)
catanf	fp	complex float catanf (complex float)
catanh	fp	complex double catanh (complex double)
catanhf	fp	complex float catanhf (complex float)
catanhl	fp	complex long double catanhl (complex long double)
catanl	fp	complex long double catanl (complex long double)
catclose	int	int catclose (nl_catd)
catgets	int	char *catgets (nl_catd, int, int, const char *)
catopen	int	nl_catd catopen (const char *, int)
cbrt	fp	double cbrt (double)
cbrtf	fp	float cbrtf (float)
cbrtl	fp	long double cbrtl (long double)
ccos	fp	complex double ccos (complex double)
ccosf	fp	complex float ccosf (complex float)
ccosh	fp	complex double ccosh (complex double)
ccoshf	fp	complex float ccoshf (complex float)
ccoshl	fp	complex long double ccoshl (complex long double)
ccosl	fp	complex long double ccosl (complex long double)
ceil	fp	double ceil (double)
ceilf	fp	float ceilf (float)
ceill	fp	long double ceill (long double)
cexp	fp	complex double cexp (complex double)
cexpf	fp	complex float cexpf (complex float)
cexpl	fp	complex long double cexpl (complex long double)
cfgetispeed	int	speed_t cfgetispeed (const struct termios *)
cfgetospeed	int	speed_t cfgetospeed (const struct termios *)
cfmakeraw	int	void cfmakeraw (struct termios *)
cfsetispeed	int	int cfsetispeed (struct termios *, speed_t)
cfsetospeed	int	int cfsetospeed (struct termios *, speed_t)
cfsetspeed	int	int cfsetspeed (struct termios *, speed_t)
chdir	int	int chdir (const char *)
chmod	int	int chmod (const char *, mode_t)
chown	int	int chown (const char *, uid_t, gid_t)
chroot	int	int chroot (const char *)
cimag	fp	double cimag (complex double)
cimagf	fp	float cimagf (complex float)
cimagl	fp	long double cimagl (complex long double)
clearenv	int	int clearenv (void)
clearerr	int	void clearerr (FILE *)
clearerr_unlocked	int	void clearerr_unlocked (FILE *)
clock	int	clock_t clock (void)
clock_getcpuclockid	int	int clock_getcpuclockid (pid_t, clockid_t *)
clock_getres	int	int clock_getres (clockid_t, struct timespec *)
clock_gettime	int	int clock_gettime (clockid_t, struct timespec *)
clock_nanosleep	int	int clock_nanosleep (clockid_t, int, const struct timespec *, struct timespec *)
clock_setres	int	int clock_setres (clockid_t, struct timespec *)
clock_settime	int	int clock_settime (clockid_t, const struct timespec *)
clog	fp	complex double clog (complex double)
clog10	fp	complex double clog10 (complex double)
clog10f	fp	complex float clog10f (complex float)
clog10l	fp	complex long double clog10l (complex long double)
clogf	fp	complex float clogf (complex float)
clogl	fp	complex long double clogl (complex long double)
close	int	int close (int)
close_range	int	int close_range (unsigned int, unsigned int, int)
closedir	int	int closedir (DIR *)
closelog	int	void closelog (void)
cnd_broadcast	unlisted	-
cnd_destroy	unlisted	-
cnd_init	unlisted	-
cnd_signal	unlisted	-
cnd_timedwait	unlisted	-
cnd_wait	unlisted	-
confstr	int	size_t confstr (int, char *, size_t)
conj	fp	complex double conj (complex double)
conjf	fp	complex float conjf (complex float)
conjl	fp	complex long double conjl (complex long double)
connect	int	int connect (int, const struct sockaddr *, socklen_t)
copysign	fp	double copysign (double, double)
copysignf	fp	float copysignf (float, float)
copysignl	fp	long double copysignl (long double, long double)
cos	fp	double cos (double)
cosf	fp	float cosf (float)
cosh	fp	double cosh (double)
coshf	fp	float coshf (float)
coshl	fp	long double coshl (long double)
