dll_crt0__FP11per_process	asis	-	residue
dll_dllcrt0	asis	-	residue
dll_entry	asis	-	residue
dn_comp	int	-	residue
dn_expand	int	-	residue
dn_skipname	int	-	residue
ecvt	fp	char *ecvt (double, int, int *, int *)	residue
ecvtbuf	fp	char *ecvtbuf (double, int, int *, int *, char *)	residue
ecvtf	fp	char *ecvtf (float, int, int *, int *)	residue
facl	int	int facl (int, int, int, aclent_t *)	probe
fcvt	fp	char *fcvt (double, int, int *, int *)	residue
fcvtbuf	fp	char *fcvtbuf (double, int, int *, int *, char *)	residue
fcvtf	fp	char *fcvtf (float, int, int *, int *)	residue
forkpty	int	int forkpty (int *, char *, const struct termios *, const struct winsize *)	probe
gcvt	fp	char *gcvt (double, int, char *)	residue
gcvtf	fp	char *gcvtf (float, int, char *)	residue
GetCommandLineA@0	asis	-	residue
GetCommandLineW@0	asis	-	residue
getmode	int	-	residue
lgammal_r	fp	long double lgammal_r (long double, int *)	residue
mbrtoc16	int	size_t mbrtoc16 (char16_t *, const char *, size_t, mbstate_t *)	probe
mbrtoc32	int	size_t mbrtoc32 (char32_t *, const char *, size_t, mbstate_t *)	probe
mtx_destroy	int	void mtx_destroy (mtx_t *)	probe
mtx_init	int	int mtx_init (mtx_t *, int)	probe
mtx_lock	int	int mtx_lock (mtx_t *)	probe
mtx_timedlock	int	int mtx_timedlock (mtx_t *, const struct timespec *)	probe
mtx_trylock	int	int mtx_trylock (mtx_t *)	probe
mtx_unlock	int	int mtx_unlock (mtx_t *)	probe
openpty	int	int openpty (int *, int *, char *, const struct termios *, const struct winsize *)	probe
pthread_attr_getstackaddr	int	-	residue
pthread_attr_setstackaddr	int	-	residue
pthread_getsequence_np	int	-	residue
res_close	int	-	residue
res_init	int	-	residue
res_mkquery	int	-	residue
res_nclose	int	-	residue
res_ninit	int	-	residue
res_nmkquery	int	-	residue
res_nquery	int	-	residue
res_nquerydomain	int	-	residue
res_nsearch	int	-	residue
res_nsend	int	-	residue
res_query	int	-	residue
