acl_copy_entry	func	NOSIGFE	-
acl_copy_ext	func	NOSIGFE	-
acl_copy_int	func	NOSIGFE	-
acl_create_entry	func	SIGFE	-
acl_delete_def_file	func	SIGFE	-
acl_delete_entry	func	NOSIGFE	-
acl_delete_perm	func	NOSIGFE	-
acl_dup	func	SIGFE	-
acl_entries	func	NOSIGFE	-
acl_equiv_mode	func	SIGFE	-
acl_error	func	NOSIGFE	-
acl_extended_fd	func	SIGFE	-
acl_extended_file	func	SIGFE	-
acl_extended_file_nofollow	func	SIGFE	-
acl_free	func	SIGFE	-
acl_from_mode	func	NOSIGFE	-
acl_from_text	func	SIGFE	-
acl_get_entry	func	NOSIGFE	-
acl_get_fd	func	SIGFE	-
acl_get_file	func	SIGFE	-
acl_get_perm	func	NOSIGFE	-
acl_get_permset	func	NOSIGFE	-
acl_get_qualifier	func	SIGFE	-
acl_get_tag_type	func	NOSIGFE	-
acl_init	func	SIGFE	-
acl_set_fd	func	SIGFE	-
acl_set_file	func	SIGFE	-
acl_set_permset	func	NOSIGFE	-
acl_set_qualifier	func	NOSIGFE	-
acl_set_tag_type	func	NOSIGFE	-
acl_size	func	NOSIGFE	-
acl_to_any_text	func	SIGFE	-
acl_to_text	func	SIGFE	-
acl_valid	func	NOSIGFE	-
aclcheck	func	NOSIGFE	-
aclfrommode	func	SIGFE	-
aclfrompbits	func	SIGFE	-
aclfromtext	func	SIGFE	-
aclsort	func	SIGFE	-
acltomode	func	SIGFE	-
acltopbits	func	SIGFE	-
acltotext	func	SIGFE	-
acos	func	NOSIGFE	-
acosf	func	NOSIGFE	-
acosh	func	NOSIGFE	-
acoshf	func	NOSIGFE	-
acoshl	func	NOSIGFE	-
acosl	func	NOSIGFE	-
aio_cancel	func	SIGFE	-
aio_error	func	NOSIGFE	-
aio_fsync	func	SIGFE	-
aio_read	func	SIGFE	-
aio_return	func	NOSIGFE	-
aio_suspend	func	SIGFE	-
aio_write	func	SIGFE	-
alarm	func	SIGFE	-
aligned_alloc	func	SIGFE	-
alphasort	func	NOSIGFE	-
arc4random	func	NOSIGFE	-
arc4random_addrandom	func	NOSIGFE	-
arc4random_buf	func	NOSIGFE	-
arc4random_stir	func	NOSIGFE	-
arc4random_uniform	func	NOSIGFE	-
argz_add	func	SIGFE	-
argz_add_sep	func	SIGFE	-
argz_append	func	SIGFE	-
argz_count	func	NOSIGFE	-
argz_create	func	SIGFE	-
argz_create_sep	func	SIGFE	-
argz_delete	func	SIGFE	-
argz_extract	func	NOSIGFE	-
argz_insert	func	SIGFE	-
argz_next	func	NOSIGFE	-
argz_replace	func	SIGFE	-
argz_stringify	func	NOSIGFE	-
asctime	func	SIGFE	-
asctime_r	func	SIGFE	-
asin	func	NOSIGFE	-
asinf	func	NOSIGFE	-
asinh	func	NOSIGFE	-
asinhf	func	NOSIGFE	-
asinhl	func	NOSIGFE	-
asinl	func	NOSIGFE	-
asnprintf	func	SIGFE	-
asprintf	func	SIGFE	-
at_quick_exit	func	SIGFE	-
atan	func	NOSIGFE	-
atan2	func	NOSIGFE	-
atan2f	func	NOSIGFE	-
atan2l	func	NOSIGFE	-
atanf	func	NOSIGFE	-
atanh	func	NOSIGFE	-
atanhf	func	NOSIGFE	-
atanhl	func	NOSIGFE	-
atanl	func	NOSIGFE	-
atexit	func	SIGFE	cygwin_atexit
atof	func	SIGFE	-
atoff	func	SIGFE	-
atoi	func	NOSIGFE	-
atol	func	NOSIGFE	-
atoll	func	NOSIGFE	-
basename	func	NOSIGFE	-
bcmp	func	NOSIGFE	-
bcopy	func	NOSIGFE	-
bind	func	SIGFE	cygwin_bind
bindresvport	func	SIGFE	cygwin_bindresvport
bindresvport_sa	func	SIGFE	cygwin_bindresvport_sa
bsearch	func	NOSIGFE	-
btowc	func	NOSIGFE	-
bzero	func	NOSIGFE	-
c16rtomb	func	NOSIGFE	-
c32rtomb	func	NOSIGFE	-
cabs	func	NOSIGFE	-
cabsf	func	NOSIGFE	-
cabsl	func	NOSIGFE	-
cacos	func	NOSIGFE	-
cacosf	func	NOSIGFE	-
cacosh	func	NOSIGFE	-
cacoshf	func	NOSIGFE	-
cacoshl	func	NOSIGFE	-
cacosl	func	NOSIGFE	-
call_once	func	SIGFE	-
calloc	func	SIGFE	-
canonicalize_file_name	func	SIGFE	-
carg	func	NOSIGFE	-
cargf	func	NOSIGFE	-
cargl	func	NOSIGFE	-
casin	func	NOSIGFE	-
casinf	func	NOSIGFE	-
casinh	func	NOSIGFE	-
casinhf	func	NOSIGFE	-
casinhl	func	NOSIGFE	-
casinl	func	NOSIGFE	-
catan	func	NOSIGFE	-
catanf	func	NOSIGFE	-
catanh	func	NOSIGFE	-
catanhf	func	NOSIGFE	-
