# WP-55 translation table -- generated by extract-tables.py; do not edit.
# linux side: veneer/include (glibc-headers-2.28-251.el8_10.40) over kernel-headers-4.18.0-553.el8_10 (fetch-kernel-headers.sh)
# cygwin side: newlib-cygwin at b11613e47 (DR-0007)
# side	name	reason
linux	SIGRTMAX	does not fold to an integer constant
linux	SIGRTMIN	does not fold to an integer constant
