# The nine libraries extracted, in emission order. The soname is asserted
# against DT_SONAME and against the base .gnu.version_d node; pkg names the
# packages.tsv row the file is unpacked from; relpath is where it lands under
# that package's tree. libc.so.6 leads; the eight companions follow in the
# order the plan names them.
#
# soname	pkg	relpath
libc.so.6	glibc	usr/lib64/libc-2.28.so
libm.so.6	glibc	usr/lib64/libm-2.28.so
libpthread.so.0	glibc	usr/lib64/libpthread-2.28.so
libdl.so.2	glibc	usr/lib64/libdl-2.28.so
librt.so.1	glibc	usr/lib64/librt-2.28.so
libcrypt.so.1	libxcrypt	lib64/libcrypt.so.1.1.0
libresolv.so.2	glibc	usr/lib64/libresolv-2.28.so
libnsl.so.1	libnsl	usr/lib64/libnsl-2.28.so
libutil.so.1	glibc	usr/lib64/libutil-2.28.so
