libc.so.6	_IO_fsetpos64	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_ftell	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_ftrylockfile	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_funlockfile	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_fwrite	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_getc	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_getline	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_getline_info	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_gets	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_init	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_init_marker	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_init_wmarker	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_iter_begin	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_iter_end	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_iter_file	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_iter_next	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_least_wmarker	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_link_in	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_list_all	GLIBC_2.2.5	default	object	global
libc.so.6	_IO_list_lock	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_list_resetlock	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_list_unlock	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_marker_delta	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_marker_difference	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_padn	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_peekc_locked	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_popen	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_printf	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_proc_close	GLIBC_2.2.5	default	func	global
libc.so.6	_IO_proc_open	GLIBC_2.2.5	default	func	global
