# package	band	names-added	claimed-names-exercised
gflags	unpinnable	2	22
gfs2-utils	unpinnable	5	31
ghostscript	unpinnable	3	5
ghostscript-x11	cheap	1	7
giflib	cheap	5	14
gimp	unpinnable	7	37
gimp-devel-tools	moderate	6	5
gimp-libs	unpinnable	4	15
git-core	unpinnable	11	39
git-credential-libsecret	moderate	6	8
git-daemon	unpinnable	10	36
git-lfs	unpinnable	3	11
gjs	unpinnable	7	23
glade	unpinnable	1	5
glade-libs	unpinnable	3	11
glib-networking	unpinnable	3	7
glib2	unpinnable	22	42
glib2-devel	unpinnable	4	16
glib2-fam	free	0	2
glib2-tests	unpinnable	2	26
glibc	unpinnable	11	32
glibc-benchtests	unpinnable	2	29
glibc-common	unpinnable	44	40
glibc-gconv-extra	moderate	6	4
glibc-utils	unpinnable	2	10
glibmm24	moderate	17	9
glog	unpinnable	3	20
glusterfs	project	89	23
glusterfs-api	unpinnable	1	17
glusterfs-cli	expensive	38	24
glusterfs-client-xlators	project	54	18
glusterfs-fuse	unpinnable	4	33
glusterfs-libs	unpinnable	12	41
glusterfs-rdma	moderate	15	8
glx-utils	moderate	15	15
gmock	expensive	21	8
gmp	unpinnable	4	16
gmp-c++	cheap	3	5
gnome-abrt	unpinnable	1	3
gnome-autoar	unpinnable	1	2
gnome-bluetooth	unpinnable	5	3
gnome-bluetooth-libs	unpinnable	3	7
gnome-boxes	unpinnable	4	16
gnome-calculator	unpinnable	4	9
gnome-characters	moderate	6	5
gnome-color-manager	unpinnable	5	7
gnome-control-center	unpinnable	6	24
gnome-desktop3	unpinnable	3	10
gnome-disk-utility	unpinnable	5	10
gnome-font-viewer	unpinnable	4	7
gnome-initial-setup	unpinnable	4	12
gnome-keyring	unpinnable	5	22
gnome-keyring-pam	unpinnable	2	16
gnome-logs	unpinnable	4	5
gnome-menus	moderate	10	7
gnome-online-accounts	unpinnable	4	8
gnome-online-miners	unpinnable	1	3
gnome-photos	unpinnable	5	11
gnome-remote-desktop	unpinnable	1	11
gnome-screenshot	unpinnable	4	4
gnome-session	unpinnable	4	19
gnome-settings-daemon	unpinnable	5	25
gnome-shell	unpinnable	5	14
gnome-software	unpinnable	8	8
gnome-system-monitor	unpinnable	7	10
gnome-terminal	unpinnable	4	10
gnome-terminal-nautilus	unpinnable	3	2
gnupg2	unpinnable	10	40
gnupg2-smime	unpinnable	9	33
gnuplot	unpinnable	5	38
gnuplot-common	expensive	34	21
gnutls	unpinnable	3	30
gnutls-c++	free	0	4
gnutls-dane	unpinnable	2	13
gnutls-utils	unpinnable	1	30
gobject-introspection	unpinnable	1	20
gobject-introspection-devel	unpinnable	3	27
gom	free	0	3
gperf	expensive	21	13
gpgme	unpinnable	2	30
gpgme-devel	moderate	20	21
gpgmepp	moderate	11	9
gpm	project	87	29
gpm-libs	unpinnable	2	17
grafana	unpinnable	4	25
grafana-pcp	unpinnable	3	11
graphite2	moderate	12	20
graphviz	unpinnable	6	39
graphviz-gd	unpinnable	1	9
graphviz-python3	unpinnable	1	13
graphviz-ruby	unpinnable	1	9
grep	unpinnable	11	23
grilo	unpinnable	2	9
grilo-plugins	unpinnable	3	8
groff	project	59	33
groff-base	unpinnable	3	34
grub2-tools	unpinnable	7	30
grub2-tools-efi	unpinnable	7	30
grub2-tools-extra	unpinnable	7	30
grub2-tools-minimal	unpinnable	7	30
grubby	moderate	12	12
gsl	unpinnable	2	18
gsm	unpinnable	1	4
gsound	cheap	1	2
gspell	unpinnable	3	3
gspell-devel	unpinnable	3	2
gssdp	moderate	12	8
gssntlmssp	unpinnable	4	15
gssproxy	unpinnable	5	23
gstreamer1	unpinnable	11	36
gstreamer1-plugins-bad-free	unpinnable	4	28
gstreamer1-plugins-base	unpinnable	5	20
gstreamer1-plugins-good	unpinnable	3	26
gstreamer1-plugins-good-gtk	free	0	2
gstreamer1-plugins-ugly-free	unpinnable	3	5
gtest	unpinnable	3	26
gtk-update-icon-cache	unpinnable	3	15
gtk-vnc2	free	0	7
gtk2	unpinnable	6	28
gtk2-devel	moderate	9	13
gtk2-immodule-xim	cheap	1	6
gtk2-immodules	free	0	3
gtk3	unpinnable	9	27
gtk3-devel	unpinnable	3	9
gtk3-immodule-xim	cheap	1	6
gtkmm24	moderate	6	5
gtkmm30	cheap	4	5
gtksourceview3	unpinnable	3	11
gtkspell	unpinnable	3	4
gtkspell3	unpinnable	3	4
guile	unpinnable	19	43
gupnp	moderate	17	10
gupnp-av	cheap	5	7
gupnp-dlna	cheap	3	3
gupnp-igd	cheap	1	3
gutenprint	unpinnable	2	29
gutenprint-cups	unpinnable	3	28
gutenprint-libs	unpinnable	4	19
gutenprint-libs-ui	unpinnable	4	24
gutenprint-plugin	unpinnable	3	6
gvfs	unpinnable	7	18
gvfs-afc	unpinnable	4	6
gvfs-afp	unpinnable	5	10
gvfs-archive	unpinnable	4	6
gvfs-client	unpinnable	2	15
gvfs-fuse	moderate	10	5
gvfs-goa	unpinnable	4	5
gvfs-gphoto2	unpinnable	4	9
gvfs-mtp	unpinnable	4	9
gvfs-smb	unpinnable	4	10
gvnc	unpinnable	1	12
gzip	expensive	50	27
haproxy	unpinnable	6	32
hardlink	moderate	14	13
harfbuzz	expensive	24	16
harfbuzz-devel	moderate	18	17
harfbuzz-icu	cheap	1	2
hdparm	unpinnable	3	27
hesiod	expensive	22	17
hexchat	unpinnable	6	27
hexedit	expensive	24	18
highlight	expensive	23	11
highlight-gui	expensive	24	9
hivex	unpinnable	7	22
hostapd	project	91	31
hostname	unpinnable	1	14
hplip	project	70	27
hplip-libs	unpinnable	2	28
hspell	unpinnable	2	15
http-parser	cheap	2	1
httpd	unpinnable	4	25
httpd-tools	unpinnable	1	21
hunspell	unpinnable	6	25
hunspell-devel	moderate	17	22
hwloc	project	61	27
hwloc-gui	expensive	50	23
hwloc-libs	unpinnable	3	28
hwloc-plugins	unpinnable	1	11
hypervfcopyd	moderate	14	7
hypervkvpd	expensive	41	20
hypervvssd	unpinnable	1	12
hyphen	unpinnable	1	13
i2c-tools	expensive	21	19
ibacm	project	99	24
ibus	unpinnable	3	17
ibus-gtk2	free	0	3
ibus-gtk3	free	0	3
ibus-hangul	unpinnable	4	4
ibus-kkc	unpinnable	3	4
ibus-libpinyin	unpinnable	6	16
ibus-libs	unpinnable	3	12
ibus-libzhuyin	unpinnable	1	10
ibus-m17n	moderate	6	6
ibus-sayura	cheap	2	3
ibus-wayland	cheap	1	4
icedax	project	73	28
icoutils	unpinnable	3	23
icu	expensive	36	27
idm-jss	unpinnable	2	10
idm-pki-symkey	moderate	6	11
idm-pki-tools	unpinnable	3	25
idn2	unpinnable	3	17
iio-sensor-proxy	moderate	10	12
ilmbase	moderate	19	8
ima-evm-utils	unpinnable	2	24
ima-evm-utils0	unpinnable	2	17
imake	project	51	33
infiniband-diags	unpinnable	1	23
info	unpinnable	7	35
initscripts	unpinnable	1	14
inkscape	unpinnable	12	34
inkscape-view	unpinnable	3	5
inkscape1	unpinnable	9	34
inkscape1-view	unpinnable	9	34
integritysetup	unpinnable	3	19
intel-cmt-cat	unpinnable	4	31
intel-gpu-tools	unpinnable	5	31
iowatcher	expensive	38	20
ipa-client	unpinnable	3	20
ipa-server	unpinnable	6	25
ipa-server-trust-ad	unpinnable	6	19
ipcalc	expensive	26	14
iperf3	unpinnable	4	28
ipmievd	unpinnable	2	31
ipmitool	unpinnable	3	34
iproute	unpinnable	13	40
iproute-tc	unpinnable	7	35
iprutils	unpinnable	1	30
ipset	cheap	1	3
ipset-libs	unpinnable	3	19
iptables	unpinnable	5	29
iptables-libs	unpinnable	4	28
iptables-utils	unpinnable	1	10
iptraf-ng	unpinnable	1	28
iptstate	expensive	22	11
iputils	unpinnable	1	26
iputils-ninfod	unpinnable	1	17
ipvsadm	expensive	37	20
irqbalance	project	58	20
irssi	project	94	29
iscsi-initiator-utils	unpinnable	4	35
iscsi-initiator-utils-iscsiuio	unpinnable	1	30
isl	unpinnable	1	17
isns-utils	moderate	20	16
isns-utils-libs	unpinnable	2	25
isomd5sum	unpinnable	3	16
iw	expensive	30	22
iwpmd	expensive	29	12
jansi	cheap	5	4
jansson	unpinnable	1	16
jasper-libs	unpinnable	1	22
java-1.8.0-openjdk	unpinnable	7	30
java-1.8.0-openjdk-demo	unpinnable	2	27
java-1.8.0-openjdk-demo-fastdebug	unpinnable	2	27
java-1.8.0-openjdk-demo-slowdebug	unpinnable	2	26
java-1.8.0-openjdk-devel	unpinnable	4	30
java-1.8.0-openjdk-devel-fastdebug	unpinnable	4	30
java-1.8.0-openjdk-devel-slowdebug	unpinnable	4	30
java-1.8.0-openjdk-fastdebug	unpinnable	7	30
java-1.8.0-openjdk-headless	unpinnable	22	47
java-1.8.0-openjdk-headless-fastdebug	unpinnable	22	47
java-1.8.0-openjdk-headless-slowdebug	unpinnable	23	47
java-1.8.0-openjdk-slowdebug	unpinnable	7	29
java-11-openjdk	unpinnable	5	30
java-11-openjdk-devel	cheap	1	2
java-11-openjdk-devel-fastdebug	cheap	1	2
java-11-openjdk-devel-slowdebug	cheap	2	3
java-11-openjdk-fastdebug	unpinnable	5	30
java-11-openjdk-headless	unpinnable	20	47
java-11-openjdk-headless-fastdebug	unpinnable	20	47
java-11-openjdk-headless-slowdebug	unpinnable	20	45
java-11-openjdk-slowdebug	unpinnable	5	29
java-17-openjdk	unpinnable	5	28
java-17-openjdk-devel	cheap	1	2
java-17-openjdk-devel-fastdebug	cheap	1	2
java-17-openjdk-devel-slowdebug	cheap	2	3
java-17-openjdk-fastdebug	unpinnable	5	28
java-17-openjdk-headless	unpinnable	22	48
java-17-openjdk-headless-fastdebug	unpinnable	22	48
java-17-openjdk-headless-slowdebug	unpinnable	23	46
java-17-openjdk-slowdebug	unpinnable	5	29
java-21-openjdk	unpinnable	5	28
java-21-openjdk-devel	cheap	1	2
java-21-openjdk-devel-fastdebug	cheap	1	2
java-21-openjdk-devel-slowdebug	cheap	2	3
java-21-openjdk-fastdebug	unpinnable	5	28
java-21-openjdk-headless	unpinnable	22	50
java-21-openjdk-headless-fastdebug	unpinnable	22	50
java-21-openjdk-headless-slowdebug	unpinnable	23	47
java-21-openjdk-slowdebug	unpinnable	5	29
java-atk-wrapper	unpinnable	1	5
jbig2dec-libs	unpinnable	1	18
jbigkit-libs	cheap	4	5
jigawatts	cheap	5	5
jimtcl	unpinnable	3	32
jmc	unpinnable	1	22
jna	unpinnable	1	11
jose	moderate	14	18
jq	unpinnable	3	32
json-c	unpinnable	2	20
json-glib	cheap	3	5
json-glib-devel	unpinnable	4	3
kabi-dw	expensive	30	27
kbd	unpinnable	5	33
keepalived	unpinnable	12	34
kernel-debug-devel	unpinnable	1	41
kernel-devel	unpinnable	1	41
kernel-tools	unpinnable	3	35
kernel-tools-libs	moderate	12	10
kernelshark	unpinnable	2	27
kexec-tools	unpinnable	5	36
keybinder3	free	0	3
keyutils	project	59	22
keyutils-libs	unpinnable	2	11
kmod	unpinnable	3	28
kmod-libs	unpinnable	4	22
kpartx	expensive	29	23
krb5-devel	unpinnable	2	18
krb5-libs	unpinnable	6	32
krb5-pkinit	unpinnable	1	15
krb5-server	unpinnable	4	32
krb5-server-ldap	unpinnable	4	19
krb5-workstation	unpinnable	4	22
ksh	unpinnable	12	28
kyotocabinet-libs	project	79	18
ladspa	unpinnable	2	19
lame-libs	unpinnable	1	14
lapack	expensive	25	6
lapack64	expensive	23	3
lasso	unpinnable	1	12
lcms2	expensive	36	16
ldb-tools	unpinnable	3	11
ldns	unpinnable	1	22
ldns-utils	unpinnable	3	26
ledmon	project	78	27
lemon	moderate	20	21
lensfun	expensive	27	13
leptonica	unpinnable	1	26
less	expensive	44	28
lftp	unpinnable	9	36
libEMF	unpinnable	4	13
libGLEW	free	0	2
libICE	unpinnable	1	25
libIDL	unpinnable	3	19
libSM	unpinnable	1	13
libX11	unpinnable	3	34
libX11-xcb	free	0	1
libXNVCtrl	free	0	5
libXScrnSaver	free	0	3
libXau	moderate	10	16
libXaw	unpinnable	1	16
libXcomposite	free	0	4
libXcursor	unpinnable	1	14
libXdamage	free	0	4
libXdmcp	moderate	10	6
libXext	unpinnable	1	9
libXfixes	free	0	7
libXfont2	unpinnable	1	22
libXft	unpinnable	1	12
libXi	cheap	3	9
libXinerama	free	0	3
libXmu	unpinnable	1	18
libXp	moderate	11	13
libXpm	unpinnable	2	23
libXpm-devel	unpinnable	3	21
libXrandr	cheap	1	7
libXrender	cheap	1	7
libXres	cheap	2	4
libXt	unpinnable	1	21
libXtst	unpinnable	1	5
libXv	cheap	1	7
libXvMC	unpinnable	1	12
libXxf86dga	unpinnable	1	12
libXxf86misc	cheap	1	6
libXxf86vm	cheap	1	3
liba52	cheap	4	5
libabw	unpinnable	1	9
libacl	unpinnable	2	11
libadwaita-qt5	cheap	2	4
libaec	cheap	3	14
libaio	unpinnable	1	3
libao	unpinnable	2	24
libappindicator-gtk3	free	0	2
libappstream-glib	unpinnable	4	8
libarchive	unpinnable	6	28
libasan	unpinnable	2	7
libasan6	unpinnable	3	7
libasan8	unpinnable	4	8
libassuan	expensive	46	24
libasyncns	moderate	20	11
libatasmart	unpinnable	1	20
libatomic	cheap	3	3
libatomic_ops	moderate	6	2
libattr	unpinnable	2	12
libavc1394	unpinnable	1	15
libbabeltrace	unpinnable	3	30
libbasicobjects	cheap	3	5
libblkid	unpinnable	6	34
libblockdev	cheap	4	2
libblockdev-crypto	moderate	6	5
libblockdev-dm	cheap	2	2
libblockdev-fs	unpinnable	2	8
libblockdev-kbd	moderate	8	3
libblockdev-loop	cheap	5	5
libblockdev-lvm	moderate	6	2
libblockdev-lvm-dbus	cheap	5	2
libblockdev-mdraid	moderate	6	3
libblockdev-mpath	cheap	2	2
libblockdev-nvdimm	free	0	3
libblockdev-part	moderate	6	6
libblockdev-swap	unpinnable	2	5
libblockdev-utils	moderate	11	5
libblockdev-vdo	cheap	1	3
libbluray	unpinnable	1	20
libbpf	unpinnable	5	24
libburn	unpinnable	1	28
libbytesize	unpinnable	1	8
libcacard	unpinnable	1	10
libcanberra	unpinnable	2	21
libcanberra-gtk2	unpinnable	1	4
libcanberra-gtk3	unpinnable	1	4
libcap	unpinnable	5	22
libcap-ng	unpinnable	6	9
libcap-ng-python3	cheap	3	11
libcap-ng-utils	unpinnable	3	17
libcdio	unpinnable	5	32
libcdio-paranoia	expensive	33	26
libcdr	moderate	15	8
libcephfs2	expensive	33	16
libcgroup	unpinnable	5	27
libcgroup-pam	cheap	1	2
libcgroup-tools	unpinnable	2	16
libchamplain	moderate	11	5
libchamplain-gtk	free	0	2
libcmis	unpinnable	1	14
libcmocka	unpinnable	2	20
libcmpiCppImpl0	cheap	2	3
libcollection	moderate	11	7
libcom_err	unpinnable	2	17
libcomps	unpinnable	2	13
libconfig	unpinnable	3	20
libcroco	cheap	5	13
libcurl	unpinnable	3	28
libcurl-minimal	unpinnable	3	28
libdaemon	unpinnable	2	10
libdap	unpinnable	3	32
libdatrie	cheap	5	12
libdatrie-devel	unpinnable	3	10
libdazzle	unpinnable	3	16
libdb	unpinnable	5	31
libdb-cxx	unpinnable	5	31
libdb-sql	unpinnable	5	34
libdb-sql-devel	unpinnable	3	19
libdb-utils	unpinnable	3	26
libdbusmenu	cheap	1	2
libdbusmenu-gtk3	free	0	2
libdc1394	unpinnable	1	14
libdhash	free	0	8
libdmapsharing	unpinnable	1	8
libdmmp	unpinnable	1	9
libdmx	cheap	1	6
libdnet	expensive	27	16
libdnf	unpinnable	5	25
libdrm	unpinnable	2	28
libdv	unpinnable	2	16
libdvdnav	unpinnable	1	11
libdvdread	unpinnable	1	18
libdwarf	unpinnable	2	15
libdwarf-tools	expensive	32	23
libdwarves1	unpinnable	7	30
libeasyfc	cheap	2	6
libeasyfc-gobject	free	0	1
libecap	cheap	1	6
libecpg	unpinnable	4	18
libecpg-devel	unpinnable	4	25
libedit	unpinnable	3	29
libeot	unpinnable	1	6
libepoxy	unpinnable	1	8
libepubgen	moderate	13	10
libestr	cheap	2	8
libetonyek	moderate	14	9
libev	unpinnable	10	16
libevdev	unpinnable	1	14
libevent	unpinnable	8	23
libexif	unpinnable	2	14
libexttextcat	unpinnable	1	12
libfabric	unpinnable	15	37
libfastjson	unpinnable	2	17
libfdisk	unpinnable	8	33
libfdt	moderate	6	3
libffi	unpinnable	2	12
libfontenc	moderate	8	8
libfprint	unpinnable	1	10
libfreehand	moderate	10	8
libgcab1	unpinnable	2	5
libgcc	unpinnable	1	6
libgcrypt	unpinnable	2	26
libgcrypt-devel	moderate	9	18
libgdata	moderate	8	10
libgdither	cheap	1	3
libgee	cheap	1	6
libgexiv2	moderate	6	5
libgfortran	unpinnable	6	28
libgit2	unpinnable	1	25
libgit2-glib	free	0	4
libglvnd	unpinnable	1	12
libglvnd-egl	unpinnable	2	18
libglvnd-gles	moderate	6	9
libglvnd-glx	unpinnable	1	14
libglvnd-opengl	moderate	6	9
libgnomekbd	unpinnable	4	9
libgomp	unpinnable	2	22
libgomp-offload-nvptx	moderate	10	3
libgovirt	cheap	3	6
libgpg-error	unpinnable	6	30
libgpg-error-devel	moderate	20	21
libgphoto2	unpinnable	11	34
libgpod	unpinnable	2	22
libgs	unpinnable	6	39
libgsf	unpinnable	5	22
libgsf-devel	unpinnable	3	4
libgtop2	unpinnable	2	17
libgudev	cheap	4	2
libguestfs	unpinnable	5	39
libguestfs-gobject	free	0	3
libguestfs-java	unpinnable	3	26
libguestfs-tools-c	unpinnable	12	49
libgusb	free	0	4
libgusb-devel	cheap	5	3
libgweather	unpinnable	1	10
libgxps	moderate	6	8
libhangul	unpinnable	6	19
libhbaapi	unpinnable	1	10
libhbalinux	unpinnable	1	16
libhugetlbfs	unpinnable	3	22
libhugetlbfs-utils	unpinnable	4	25
libi2c	cheap	1	3
libibumad	unpinnable	1	13
libibverbs	unpinnable	4	23
libibverbs-utils	expensive	33	14
libical	unpinnable	5	29
libicu	unpinnable	3	37
libicu-devel	cheap	2	5
libidn	unpinnable	6	19
libidn2	unpinnable	3	13
libiec61883	unpinnable	2	11
libieee1284	unpinnable	2	15
libijs	moderate	7	10
libimobiledevice	unpinnable	1	21
libindicator-gtk3	cheap	1	2
libini_config	unpinnable	4	23
libinput	unpinnable	5	23
libinput-utils	unpinnable	2	23
libipa_hbac	cheap	3	6
libipt	moderate	13	13
libiptcdata	unpinnable	7	17
libiscsi	unpinnable	1	16
libiscsi-utils	expensive	32	21
libisoburn	unpinnable	5	32
libisofs	unpinnable	4	25
libitm	unpinnable	1	12
libjose	unpinnable	1	13
libjpeg-turbo	unpinnable	1	13
libjpeg-turbo-utils	moderate	13	17
libkadm5	unpinnable	2	21
libkcapi	unpinnable	5	11
libkcapi-hmaccalc	expensive	24	20
libkeepalive	cheap	4	4
libkkc	unpinnable	2	5
libknet1	unpinnable	4	15
libksba	unpinnable	1	23
liblangtag	unpinnable	3	11
liblangtag-gobject	free	0	1
libldb	unpinnable	2	21
liblockfile	unpinnable	1	17
liblognorm	expensive	21	20
liblouis	unpinnable	1	17
liblsan	unpinnable	3	7
libluksmeta	cheap	5	5
libmad	moderate	10	8
libmalaga	unpinnable	1	22
libmatchbox	unpinnable	1	22
libmaxminddb	expensive	23	14
libmbim	moderate	7	9
libmbim-utils	moderate	8	5
libmcpp	unpinnable	3	22
libmediaart	unpinnable	1	6
libmemcached	unpinnable	1	26
libmemcached-libs	unpinnable	3	20
libmetalink	moderate	12	14
libmicrohttpd	unpinnable	6	19
libmng	cheap	3	4
libmnl	moderate	8	12
libmodman	moderate	11	6
libmodulemd	moderate	11	11
libmodulemd1	cheap	2	10
libmount	unpinnable	14	38
libmpc	unpinnable	3	10
libmpcdec	cheap	3	6
libmspack	unpinnable	1	15
libmspub	moderate	14	7
libmtp	unpinnable	5	26
libmusicbrainz5	moderate	8	9
libmwaw	moderate	17	7
libnbd	unpinnable	2	28
libndp	unpinnable	1	15
libnet	unpinnable	2	22
libnetapi	unpinnable	1	8
libnetfilter_conntrack	moderate	17	11
libnetfilter_cthelper	cheap	2	5
libnetfilter_cttimeout	cheap	5	6
libnetfilter_queue	moderate	6	6
libnfnetlink	unpinnable	1	10
libnfsidmap	unpinnable	1	26
libnftnl	unpinnable	1	13
libnghttp2	moderate	7	9
libnice	unpinnable	1	21
libnice-gstreamer1	free	0	2
libnl3	unpinnable	3	25
libnl3-cli	unpinnable	2	14
libnma	unpinnable	3	11
libnotify	cheap	4	4
libnsl	unpinnable	24	22
libnsl2	unpinnable	3	23
libnumbertext	moderate	16	10
liboauth	unpinnable	1	20
libodfgen	unpinnable	1	8
libogg	cheap	2	6
liboggz	expensive	33	24
libomp	unpinnable	4	29
libopenraw	unpinnable	1	11
libopenraw-gnome	unpinnable	1	6
liborcus	expensive	23	15
libosinfo	unpinnable	4	8
libotf	unpinnable	1	21
libpagemaker	moderate	8	7
libpaper	moderate	18	14
libpath_utils	unpinnable	1	7
libpcap	unpinnable	6	26
libpciaccess	unpinnable	2	15
libpeas	unpinnable	2	5
libpeas-devel	cheap	1	2
libpeas-gtk	free	0	4
libpeas-loader-python3	free	0	2
libpfm	unpinnable	2	20
libpgtypes	unpinnable	2	14
libpinyin	unpinnable	1	16
libpipeline	unpinnable	1	18
libpkgconf	moderate	19	17
libplist	expensive	24	17
libpmem	unpinnable	1	20
libpmem-debug	unpinnable	3	21
libpmemblk	unpinnable	2	22
libpmemblk-debug	unpinnable	4	24
libpmemlog	unpinnable	2	22
libpmemlog-debug	unpinnable	4	24
libpmemobj	unpinnable	2	23
libpmemobj-debug	unpinnable	4	24
libpmempool	unpinnable	2	27
libpmempool-debug	unpinnable	4	29
libpng	unpinnable	1	19
libpng-devel	moderate	13	20
libpng12	unpinnable	1	13
libpng15	unpinnable	1	13
libpq	unpinnable	6	26
libpq-devel	unpinnable	3	19
libproxy	expensive	27	13
libproxy-bin	cheap	5	4
libproxy-gnome	moderate	20	12
libproxy-networkmanager	free	0	2
libproxy-webkitgtk4	cheap	4	5
libpsl	unpinnable	3	11
libpsm2	unpinnable	9	27
libpsm2-compat	free	0	1
libpst-libs	unpinnable	5	23
libpurple	unpinnable	4	32
libpwquality	unpinnable	4	18
libqb	unpinnable	5	24
libqhull	unpinnable	2	14
libqhull_p	unpinnable	2	14
libqhull_r	unpinnable	2	14
libqmi	moderate	8	15
libqmi-utils	expensive	23	14
libquadmath	unpinnable	3	11
libquvi	unpinnable	1	4
libqxp	moderate	8	7
librabbitmq	unpinnable	1	11
librabbitmq-tools	expensive	22	16
librados-devel	unpinnable	3	13
librados2	unpinnable	13	32
libradosstriper1	expensive	22	11
libraw1394	unpinnable	5	20
librbd1	expensive	32	12
librdkafka	unpinnable	2	29
librdmacm	unpinnable	6	15
librdmacm-utils	project	59	15
libref_array	cheap	4	5
librelp	unpinnable	4	14
libreoffice-base	moderate	7	6
libreoffice-calc	expensive	38	12
libreoffice-core	unpinnable	5	34
libreoffice-graphicfilter	cheap	5	6
libreoffice-gtk3	unpinnable	1	12
libreoffice-impress	cheap	4	6
libreoffice-ogltrans	unpinnable	1	6
libreoffice-pdfimport	unpinnable	3	15
libreoffice-pyuno	unpinnable	2	14
libreoffice-sdk	unpinnable	3	24
libreoffice-ure	unpinnable	7	29
libreoffice-writer	unpinnable	3	23
libreoffice-x11	unpinnable	2	15
libreofficekit	unpinnable	1	11
librepo	unpinnable	1	25
libreport	unpinnable	5	35
libreport-cli	unpinnable	3	19
libreport-gtk	unpinnable	3	12
libreport-newt	unpinnable	3	4
libreport-plugin-bugzilla	unpinnable	3	11
libreport-plugin-kerneloops	unpinnable	3	3
libreport-plugin-logger	unpinnable	3	7
libreport-plugin-mailx	unpinnable	3	6
libreport-plugin-reportuploader	unpinnable	3	5
libreport-plugin-ureport	unpinnable	3	6
libreport-web	unpinnable	1	12
libreswan	unpinnable	1	34
librevenge	unpinnable	1	11
librhsm	cheap	2	5
librpmem	unpinnable	1	19
librpmem-debug	unpinnable	1	20
librsvg2	unpinnable	3	17
librsvg2-tools	unpinnable	1	10
librx	unpinnable	1	8
libsamplerate	moderate	9	9
libsane-hpaio	unpinnable	1	20
libsass	unpinnable	1	12
libseccomp	unpinnable	2	14
libseccomp-devel	cheap	5	4
libsecret	unpinnable	4	14
libselinux	unpinnable	5	27
libselinux-python	unpinnable	2	20
libselinux-ruby	cheap	3	7
libselinux-utils	project	52	28
libsemanage	unpinnable	4	30
libsepol	unpinnable	3	26
libserf	unpinnable	1	13
libshout	unpinnable	2	17
libsigc++20	free	0	2
libsigsegv	unpinnable	1	9
libslirp	expensive	35	15
libsmartcols	unpinnable	6	32
libsmbclient	moderate	15	11
libsmbios	unpinnable	4	26
libsmi	unpinnable	3	32
libsndfile	unpinnable	1	23
libsndfile-utils	expensive	26	20
libsolv	unpinnable	2	30
libsolv-tools	expensive	23	19
libsoup	unpinnable	1	17
libspectre	unpinnable	1	21
libspiro	cheap	3	5
libsrtp	unpinnable	1	9
libss	unpinnable	3	20
libssh	unpinnable	3	35
libsss_autofs	unpinnable	1	15
libsss_certmap	moderate	11	10
libsss_idmap	cheap	4	10
libsss_nss_idmap	unpinnable	1	16
libsss_simpleifp	cheap	2	8
libsss_sudo	unpinnable	1	13
libstaroffice	moderate	11	7
libstdc++	unpinnable	8	28
libstemmer	cheap	3	6
libstoragemgmt	unpinnable	1	21
libstoragemgmt-nfs-plugin	moderate	6	4
libstoragemgmt-udev	moderate	8	13
libsysfs	moderate	16	13
libtalloc	unpinnable	3	15
libtar	unpinnable	2	16
libtasn1	unpinnable	1	19
libtasn1-tools	moderate	20	19
libtdb	unpinnable	1	13
libteam	unpinnable	4	16
libtevent	unpinnable	6	10
libthai	moderate	6	8
libtheora	cheap	5	8
libtiff	unpinnable	1	19
libtiff-tools	expensive	39	28
libtimezonemap	moderate	9	7
libtirpc	unpinnable	1	24
libtool-ltdl	unpinnable	1	14
libtpms	unpinnable	1	21
libtraceevent	unpinnable	2	18
libtracefs	unpinnable	4	24
libtsan	unpinnable	3	5
libtsan2	unpinnable	6	6
libubsan	unpinnable	3	8
libucil	unpinnable	1	17
libudisks2	cheap	1	4
libunicap	unpinnable	1	24
libuninameslist	free	0	1
libunistring	unpinnable	3	21
liburing	unpinnable	1	4
libusal	unpinnable	3	32
libusb	unpinnable	2	10
libusbmuxd	unpinnable	4	14
libusbx	unpinnable	3	16
libuser	unpinnable	8	32
libutempter	unpinnable	1	7
libuuid	unpinnable	2	17
libuv	unpinnable	14	30
libv4l	unpinnable	2	21
libva	unpinnable	2	22
libvarlink	unpinnable	3	18
libvarlink-util	unpinnable	4	24
libvdpau	unpinnable	1	13
libverto	unpinnable	1	12
libverto-libev	free	0	3
libverto-libevent	free	0	2
libvirt-client	unpinnable	2	18
libvirt-daemon	unpinnable	3	17
libvirt-daemon-driver-interface	unpinnable	1	8
libvirt-daemon-driver-network	unpinnable	1	9
libvirt-daemon-driver-nodedev	unpinnable	1	9
libvirt-daemon-driver-nwfilter	unpinnable	1	12
libvirt-daemon-driver-qemu	unpinnable	1	17
libvirt-daemon-driver-secret	unpinnable	1	8
libvirt-daemon-driver-storage-core	unpinnable	1	14
libvirt-daemon-driver-storage-disk	unpinnable	1	7
libvirt-daemon-driver-storage-gluster	unpinnable	1	4
libvirt-daemon-driver-storage-iscsi	unpinnable	1	3
libvirt-daemon-driver-storage-iscsi-direct	unpinnable	1	3
libvirt-daemon-driver-storage-logical	unpinnable	1	7
libvirt-daemon-driver-storage-mpath	unpinnable	1	2
libvirt-daemon-driver-storage-rbd	unpinnable	1	4
libvirt-daemon-driver-storage-scsi	unpinnable	1	5
libvirt-dbus	cheap	2	4
libvirt-gconfig	unpinnable	1	5
libvirt-glib	unpinnable	2	4
libvirt-gobject	unpinnable	1	6
libvirt-libs	unpinnable	12	28
