string	66	30747
unassigned	373	25924
stdio	95	24513
posix	116	22250
stdlib	92	13210
filesystem	109	13195
memory	35	9491
sockets	99	8325
locale	76	7583
time	40	6135
signal	29	4009
process	52	3615
identity	35	2366
io-mux	20	2070
terminal	33	1910
misc	29	1592
runtime	13	1474
threads	29	1291
wchar	60	941
regex	10	835
syslog	5	536
sysv-ipc	14	529
io	12	517
system	4	449
dl	2	147
math	16	85
